model_id,model_name,runtime,reference_blind,context_source,comparison_note,rank_eligible,case_count,successful_cases,failed_cases,success_rate,exact_matches,exact_match_rate,mean_edit_similarity,mean_chrf,mean_wer,median_tokens_per_second,mean_generation_seconds,median_generation_seconds,peak_memory_gib,memory_scope
cleanup-2b-4bit,Cleanup Qwen3.5 2B 4-bit,MLX LM 4-bit affine (group size 64; text-only),True,dataset_system_prompt,,True,100,100,0,1.0,24,0.24,0.9523314759368182,0.8888066611052758,0.18879558230945848,43.15932292351624,0.6407311054000092,0.6327217500002007,1.5933837890625,process peak RSS
fluid-1-mini-2b-6bit,Fluid-1 Mini 2B 6-bit,MLX LM 6-bit (no DFlash),True,dataset_system_prompt,,True,100,100,0,1.0,27,0.27,0.9660143425872298,0.9044220538774098,0.15468343612230315,34.5214261229752,0.6787936450383859,0.6204163335060002,1.3649444580078125,process peak RSS
gpt-5.6-sol-low,GPT-5.6 Sol (low reasoning),Codex hosted,True,native_prompt,,True,100,100,0,1.0,67,0.67,0.9868909380610994,0.9709691964954226,0.044432569070611334,,,,,unavailable
qwen3.5-2b-original-4bit,Qwen3.5 2B Original 4-bit,MLX 4-bit affine (group size 64; upstream post-trained model),True,dataset_system_prompt,,False,100,99,1,0.99,7,0.07,0.8637010728271998,0.777970276272596,0.4153152317354464,41.309127236784185,0.7094491776358218,0.6665550420002546,1.1038360595703125,process peak RSS
voiceink-refine-v1,VoiceInk Refine V1,MLX LM 4-bit,True,native_prompt,,True,100,100,0,1.0,25,0.25,0.9566027460703581,0.8916424129805312,0.1928994291107005,48.33907763346866,0.6085611812994466,0.5784483329916839,0.7807769775390625,process peak RSS
